name,price,discount,memory,display,camera,battery,warranty,processor
"Samsung Galaxy F06 5G (Lit Violet, 128 GB)","₹8,699",37% off,4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Dimensity 6300 Processor
"Samsung Galaxy F16 5G (Glam Green, 128 GB)","₹10,749",32% off,4 GB RAM | 128 GB ROM,16.91 cm (6.657 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Dimensity 6300 Processor
"Ai+ Pulse (Purple, 64 GB)","₹5,499",31% off,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.13 cm (6.745 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery,1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,T615 Processor
"Motorola g45 5G (Pantone Moss, 128 GB)","₹11,999",20% off,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,1 Year Warranty on Handset and 6 Months Warranty on Accessories,Snapdragon 6s Gen 3 Processor
"MOTOROLA Edge 60 Fusion 5G (PANTONE Slipstream, 256 GB)","₹22,999",11% off,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Display,50MP + 13MP | 32MP Front Camera,5500 mAh Battery,1 Year Warranty on Handset and 6 Months Warranty on Accessories,68W Charger
"Samsung Galaxy A35 5G (Awesome Lilac, 128 GB)","₹19,999",41% off,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 5MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Samsung Exynos 1380 Processor
"POCO C75 5G (Aqua Bliss, 64 GB)","₹7,699",30% off,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5160 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4s Gen 2 5G Processor
"Motorola G85 5G (Viva Magenta, 128 GB)","₹15,999",23% off,8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,50MP + 8MP | 32MP Front Camera,5000 mAh Battery,1 Year on Handset and 6 Months on Accessories,6s Gen 3 Processor
"Nokia 130 Music Dual Sim, Music Player, Wireless FM Radio and Dedicated Music Buttons","₹1,585",24% off,4 MB RAM | 4 MB ROM,6.1 cm (2.4 inch) Display,0MP Front Camera,1450 mAh Battery,NA,6261D Processor
"Motorola g45 5G (Pantone Dahlia Purple, 128 GB)","₹11,999",20% off,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,1 Year Warranty on Handset and 6 Months Warranty on Accessories,Snapdragon 6s Gen 3 Processor
